iteration,obj_of_RMP
1,5844.0
2,5844.0
3,5844.0
4,5844.0
5,5844.0
6,5844.0
7,5844.0
8,5844.0
9,5844.0
10,5844.0
11,5844.0
12,5844.0
13,5844.0
14,5844.0
15,5844.0
16,5844.0
17,5844.0
18,5844.0
19,5844.0
20,5844.0
21,5844.0
22,5844.0
23,5844.0
24,5844.0
25,5844.0
26,5844.0
27,5844.0
28,5844.0
29,5844.0
30,5844.0
31,5844.0
32,5844.0
33,5844.0
34,5844.0
35,5782.0
36,5778.0
37,5778.0
38,5778.0
39,5778.0
40,5778.0
41,5778.0
42,5778.0
43,5778.0
44,5778.0
45,5778.0
46,5778.0
47,5778.0
48,5778.0
49,5778.0
50,5778.0
51,5778.0
52,5778.0
53,5778.0
