iteration,obj_of_RMP
1,9234.653294388367
2,9234.653294388367
3,9234.653294388367
4,9234.653294388367
5,9234.653294388367
6,9234.653294388367
7,9234.653294388367
8,9234.653294388367
9,9234.653294388367
10,9234.653294388367
11,9234.653294388367
12,9234.653294388367
13,9234.653294388367
14,9234.653294388367
15,9234.653294388367
16,9234.653294388367
17,9234.653294388367
18,9234.653294388367
19,9234.653294388367
20,9234.653294388367
21,9234.653294388367
22,9234.653294388367
23,9234.653294388367
24,9234.653294388367
25,9234.653294388367
26,9234.653294388367
27,9234.653294388367
28,9234.653294388367
29,9234.653294388367
30,9234.653294388367
31,9234.653294388367
32,9205.528555335159
33,9153.947571081606
34,9146.867409997556
35,9146.867409997556
36,9146.867409997556
37,9146.867409997556
38,9146.867409997556
39,9146.867409997556
40,9146.867409997556
41,9146.867409997556
42,9146.867409997556
43,9146.867409997556
44,9146.867409997556
45,9146.867409997556
46,9146.867409997556
47,9146.867409997556
48,9146.867409997556
49,9146.867409997556
50,9146.867409997556
51,9146.867409997556
52,9146.867409997556
53,9146.867409997556
54,9146.867409997556
