ID	Origin	destination
1	728	617
2	487	53
3	45	795
4	597	798
5	446	810
6	628	644
7	334	854
8	117	334
9	777	333
10	814	17
11	598	696
12	589	815
13	793	794
14	373	554
15	227	806
16	841	38
17	821	653
18	545	365
19	571	912
20	23	204
21	820	397
22	532	204
23	471	69
24	110	48
25	56	253
26	633	422
27	899	167
28	405	493
29	278	853
30	729	689
31	4	590
32	904	137
33	776	862
34	203	45
35	919	467
36	70	224
37	384	70
38	59	836
39	649	401
40	228	386
41	821	179
42	783	876
43	291	559
44	570	440
45	393	316
46	915	419
47	350	691
48	153	899
49	193	386
50	102	580
51	124	607
52	358	393
53	826	701
54	499	686
55	464	449
56	852	106
57	528	352
58	565	336
59	343	428
60	363	280
61	623	590
62	400	302
63	83	745
64	510	566
65	257	370
66	226	227
67	193	490
68	487	802
69	627	63
70	316	464
71	159	524
72	805	377
73	515	425
74	477	664
75	386	729
76	316	327
77	155	412
78	736	853
79	661	443
80	207	885
81	43	579
82	392	180
83	15	114
84	540	723
85	746	267
86	13	621
87	385	559
88	461	817
89	100	396
90	591	219
91	78	10
92	150	98
93	469	680
94	571	464
95	678	67
96	901	538
97	635	418
98	818	894
99	755	83
100	866	82
101	211	334
102	582	660
103	789	806
104	276	644
105	105	878
106	578	714
107	830	182
108	723	344
109	362	247
110	864	130
111	150	212
112	125	255
113	737	655
114	542	709
115	887	705
116	194	824
117	525	265
118	450	795
119	416	919
120	15	241
121	320	846
122	547	190
123	34	343
124	642	150
125	739	605
126	919	833
127	708	395
128	526	605
129	527	268
130	910	700
131	515	643
132	860	523
133	274	162
134	629	919
135	409	666
136	379	388
137	143	388
138	272	750
139	870	306
140	361	628
141	858	737
142	827	38
143	422	894
144	594	231
145	611	735
146	6	450
147	427	724
148	425	651
149	671	546
150	108	425
151	55	452
152	644	157
153	610	464
154	197	56
155	423	497
156	190	25
157	282	294
158	438	632
159	221	211
160	460	716
161	651	630
162	302	550
163	484	112
164	753	663
165	721	592
166	204	375
167	261	573
168	473	805
169	348	796
170	330	870
171	920	378
172	224	839
173	248	152
174	834	563
175	279	479
176	659	913
177	294	34
178	172	829
179	731	214
180	147	828
181	497	252
182	852	639
183	7	454
184	447	880
185	853	776
186	434	893
187	401	931
188	454	376
189	199	575
190	590	270
191	539	776
192	459	847
193	384	159
194	742	48
195	19	922
196	764	116
197	713	415
198	1	669
199	16	446
200	531	647
201	365	368
202	883	293
203	275	526
204	439	718
205	319	505
206	773	810
207	461	88
208	710	511
209	603	134
210	910	205
211	892	931
212	807	48
213	292	694
214	171	335
215	320	584
216	88	724
217	74	484
218	810	103
219	215	911
220	877	392
221	696	439
222	546	422
223	564	57
224	438	725
225	101	933
226	100	179
227	100	712
228	62	96
229	151	97
230	139	914
231	374	362
232	85	178
233	531	511
234	55	432
235	151	811
236	484	430
237	412	309
238	731	529
239	898	482
240	240	729
241	458	215
242	916	901
243	904	538
244	888	202
245	318	102
246	211	40
247	340	215
248	441	230
249	522	281
250	917	365
251	829	731
252	80	326
253	207	278
254	675	439
255	857	837
256	296	520
257	261	538
258	653	41
259	858	582
260	474	786
261	112	848
262	292	604
263	389	177
264	486	512
265	912	439
266	451	53
267	797	666
268	652	118
269	545	20
270	265	460
271	659	617
272	55	17
273	628	341
274	495	277
275	778	121
276	537	387
277	292	142
278	426	46
279	657	237
280	495	429
281	68	356
282	681	112
283	331	443
284	427	82
285	450	858
286	454	882
287	81	701
288	405	631
289	894	607
290	773	188
291	426	476
292	543	11
293	638	576
294	786	825
295	40	683
296	280	708
297	687	509
298	547	262
299	108	714
300	624	435
301	94	824
302	168	68
303	444	241
304	599	476
305	396	108
306	668	219
307	160	648
308	577	151
309	337	32
310	120	336
311	771	806
312	593	909
313	356	893
314	397	855
315	593	331
316	538	515
317	671	603
318	410	453
319	653	391
320	289	764
321	351	252
322	745	704
323	484	902
324	213	320
325	144	926
326	71	237
327	296	233
328	80	576
329	614	55
330	869	309
331	463	839
332	412	647
333	912	403
334	714	771
335	290	570
336	90	351
337	182	201
338	37	143
339	366	538
340	775	299
341	136	592
342	619	358
343	602	434
344	436	588
345	315	345
346	797	384
347	692	540
348	558	520
349	5	61
350	703	671
351	640	372
352	914	312
353	700	150
354	889	654
355	325	673
356	162	856
357	607	673
358	349	230
359	887	618
360	856	657
361	545	749
362	347	359
363	370	499
364	353	519
365	118	235
366	584	346
367	506	121
368	607	392
369	95	786
370	132	296
371	855	675
372	469	484
373	767	246
374	631	237
375	86	761
376	382	419
