iteration,obj_of_RMP
1,9532.494191522801
2,9532.494191522801
3,9532.494191522801
4,9532.494191522801
5,9532.494191522801
6,9532.494191522801
7,9532.494191522801
8,9532.494191522801
9,9532.494191522801
10,9532.494191522801
11,9532.494191522801
12,9532.494191522801
13,9532.494191522801
14,9532.494191522801
15,9532.494191522801
16,9532.494191522801
17,9532.494191522801
18,9532.494191522801
19,9532.494191522801
20,9532.494191522801
21,9467.135705408129
22,9448.327815869952
23,9440.073671170287
24,9440.073671170287
25,9390.005554411833
26,9389.66667053235
27,9389.66667053235
28,9389.66667053235
29,9389.66667053235
30,9389.66667053235
31,9389.66667053235
32,9389.66667053235
33,9389.66667053235
34,9389.66667053235
35,9389.66667053235
36,9389.66667053235
37,9389.66667053235
38,9389.66667053235
39,9389.66667053235
40,9389.66667053235
41,9389.66667053235
42,9389.66667053235
43,9389.66667053235
44,9389.66667053235
45,9389.66667053235
46,9389.66667053235
47,9389.66667053235
48,9389.66667053235
49,9389.66667053235
