ID	Origin	destination
1	569	273
2	422	812
3	533	174
4	462	817
5	547	372
6	363	303
7	498	378
8	810	623
9	538	84
10	655	770
11	36	111
12	823	398
13	911	314
14	685	177
15	227	927
16	245	159
17	642	761
18	412	199
19	722	833
20	132	256
21	601	87
22	768	110
23	363	225
24	648	541
25	428	477
26	216	405
27	872	282
28	428	320
29	629	406
30	839	877
31	640	914
32	558	27
33	697	26
34	544	688
35	190	36
36	782	532
37	145	269
38	250	429
39	713	307
40	300	200
41	533	790
42	308	766
43	495	330
44	259	181
45	909	104
46	453	347
47	633	820
48	585	288
49	41	110
50	863	399
51	261	915
52	753	511
53	206	35
54	191	715
55	406	923
56	104	874
57	926	573
58	670	645
59	486	915
60	931	86
61	721	638
62	123	358
63	710	222
64	315	811
65	760	383
66	522	297
67	643	431
68	346	833
69	417	474
70	78	550
71	831	763
72	618	643
73	645	867
74	590	511
75	432	543
76	433	384
77	613	685
78	231	313
79	376	632
80	547	252
81	834	185
82	652	106
83	791	870
84	785	859
85	311	27
86	210	577
87	870	767
88	866	532
89	185	257
90	346	209
91	27	840
92	490	829
93	578	871
94	167	821
95	746	806
96	662	779
97	31	3
98	341	660
99	825	658
100	316	138
