ID	Origin	destination
1	166	745
2	885	207
3	930	595
4	209	508
5	352	280
6	9	842
7	764	514
8	877	60
9	577	508
10	417	263
11	248	438
12	495	366
13	306	510
14	72	816
15	734	632
16	361	633
17	306	163
18	734	163
19	557	441
20	395	328
21	623	245
22	410	553
23	577	740
24	107	26
25	666	292
26	671	793
27	928	169
28	834	760
29	150	564
30	522	721
31	53	354
32	909	262
33	227	136
34	791	532
35	216	834
36	854	774
37	118	842
38	862	103
39	664	234
40	392	856
41	654	607
42	852	374
43	307	509
44	486	843
45	110	260
46	401	609
47	442	137
48	118	48
49	407	23
50	619	884
51	543	376
52	644	405
53	643	132
54	94	792
55	309	883
56	642	720
57	652	334
58	256	47
59	795	789
60	129	666
61	90	794
62	724	543
63	188	412
64	790	335
65	301	102
66	247	611
67	448	113
68	113	460
69	202	765
70	195	209
71	486	464
72	534	501
73	464	81
74	276	493
75	443	88
76	860	471
77	733	607
78	590	775
79	184	666
80	610	588
81	203	238
82	618	641
83	589	638
84	155	712
85	767	94
86	32	381
87	692	273
88	791	632
89	640	929
90	630	852
91	134	713
92	899	172
93	235	427
94	635	658
95	370	398
96	92	169
97	95	496
98	778	50
99	562	455
100	179	802
101	183	405
102	906	509
103	112	497
104	170	872
105	492	751
106	52	13
107	440	306
108	556	475
109	278	140
110	369	491
111	585	611
112	683	393
113	723	782
114	780	147
115	832	132
116	471	91
117	98	206
118	883	139
119	270	17
120	907	395
121	204	762
122	161	336
123	223	83
124	176	264
125	872	394
126	16	343
127	841	72
128	241	2
129	104	20
130	81	159
131	466	390
132	345	546
133	362	360
134	916	26
135	852	716
136	820	793
137	566	886
138	207	801
139	106	853
140	389	212
141	901	896
142	320	799
143	311	908
144	130	696
145	240	441
146	806	730
147	247	362
148	522	679
149	550	444
150	649	854
151	380	73
152	155	13
153	450	301
154	871	822
155	76	124
156	275	225
157	125	432
158	797	369
159	237	225
160	89	299
161	53	213
162	52	894
163	10	921
164	73	874
165	875	576
166	282	287
167	926	604
168	681	324
169	389	86
170	237	926
171	123	252
172	137	761
173	815	559
