iteration,solution
1,[(674, 722), (674, 683), (683, 674), (683, 690), (690, 683)]
2,[(722, 674), (674, 722), (683, 674), (690, 683), (409, 690)]
3,[(674, 683), (683, 674), (683, 690), (690, 683), (409, 690)]
4,[(722, 674), (674, 722), (674, 683), (683, 690), (409, 690)]
5,[(722, 674), (674, 722), (683, 674), (683, 690), (690, 683)]
6,[(722, 674), (674, 722), (674, 683), (683, 674), (690, 683)]
7,[(674, 722), (674, 683), (683, 674), (683, 690), (690, 683)]
8,[(722, 674), (674, 722), (683, 674), (683, 690), (690, 683)]
9,[(722, 674), (674, 722), (674, 683), (683, 674), (690, 683)]
10,[(674, 722), (674, 683), (683, 674), (683, 690), (690, 683)]
11,[(722, 674), (674, 722), (683, 674), (683, 690), (690, 683)]
12,[(722, 674), (674, 722), (674, 683), (683, 674), (690, 683)]
13,[(674, 722), (674, 683), (683, 674), (683, 690), (690, 683)]
14,[(722, 674), (674, 722), (683, 674), (683, 690), (690, 683)]
15,[(722, 674), (674, 722), (674, 683), (683, 674), (690, 683)]
16,[(674, 722), (674, 683), (683, 674), (683, 690), (690, 683)]
17,[(722, 674), (674, 722), (683, 674), (683, 690), (690, 683)]
18,[(722, 674), (674, 722), (674, 683), (683, 674), (690, 683)]
19,[(674, 722), (674, 683), (683, 674), (683, 690), (690, 683)]
20,[(722, 674), (674, 722), (683, 674), (683, 690), (690, 683)]
