linkId	fromNode	toNode	meanTime	stdTime
1	1	547	0.86267	0.1855662119938603	
2	2	548	0.86267	0.13589158560645795	
3	3	549	0.86267	0.15588980134315228	
4	4	550	0.86267	0.08605486310337301	
5	5	551	0.86267	0.25638824139312	
6	6	552	0.86267	0.14183729620813726	
7	7	553	0.86267	0.05602009521756578	
8	8	554	0.86267	0.07133614212839268	
9	9	555	0.86267	0.18739662625561643	
10	10	556	0.86267	0.12715600416162934	
11	11	557	0.86267	0.14428242735155766	
12	12	558	0.86267	0.1832746676812874	
13	13	559	0.86267	0.2341394945363241	
14	14	560	0.86267	0.05352996355207431	
15	15	561	0.86267	0.04966743070540313	
16	16	562	0.86267	0.08706446436927177	
17	17	563	0.86267	0.1312912592554875	
18	18	564	0.86267	0.17866044024170805	
19	19	565	0.86267	0.09442627119390407	
20	20	566	0.86267	0.18455428516801567	
21	21	567	0.86267	0.25098771040391915	
22	22	568	0.86267	0.17559678983263896	
23	23	569	0.86267	0.16312050506105563	
24	24	570	0.86267	0.21247680092347607	
25	25	571	0.86267	0.23085536647362015	
26	26	572	0.86267	0.12459555196998237	
27	27	573	0.86267	0.10574435139049772	
28	28	574	0.86267	0.22591689064311551	
29	29	575	0.86267	0.1886528073900119	
30	30	576	0.86267	0.23771024009034944	
31	31	577	0.86267	0.15545048824724758	
32	32	578	0.86267	0.12544241679207807	
33	33	579	0.86267	0.05923900125097015	
34	34	580	0.86267	0.20559999669908693	
35	35	581	0.86267	0.17657735278784834	
36	36	582	0.86267	0.07545759947194833	
37	37	583	0.86267	0.20551584013550384	
38	38	584	0.86267	0.24432099657002476	
39	39	585	0.86267	0.06143936364731065	
40	40	586	0.86267	0.10365212941402996	
41	41	587	0.86267	0.0799213640747826	
42	42	588	0.86267	0.18459007942643504	
43	43	589	0.86267	0.11083980001330312	
44	44	590	0.86267	0.20917926733760603	
45	45	591	0.86267	0.06979217497626773	
46	46	592	0.86267	0.24565114717261896	
47	47	593	0.86267	0.17519090146467622	
48	48	594	0.86267	0.04458858983844237	
49	49	595	0.86267	0.06236539022037564	
50	50	596	0.86267	0.18060313922328605	
51	51	597	0.86267	0.21538403260209701	
52	52	598	0.86267	0.07424030603117245	
53	53	599	0.86267	0.1464037479206583	
54	54	600	0.86267	0.09986136134443555	
55	55	601	0.86267	0.0815633425139075	
56	56	602	0.86267	0.07416962404701653	
57	57	603	0.86267	0.10231186456809764	
58	58	604	0.86267	0.20419353460229497	
59	59	605	0.86267	0.2365623699388397	
60	60	606	0.86267	0.0708040796818095	
61	61	607	0.86267	0.2193104073896275	
62	62	608	0.86267	0.12380315102571904	
63	63	609	0.86267	0.07259684980719457	
64	64	610	0.86267	0.2575559971028915	
65	65	611	0.86267	0.187408746424548	
