iteration,obj_of_RMP
1,5660.0
2,5660.0
3,5660.0
4,5660.0
5,5660.0
6,5660.0
7,5660.0
8,5660.0
9,5660.0
10,5660.0
11,5660.0
12,5660.0
13,5660.0
14,5660.0
15,5660.0
16,5660.0
17,5660.0
18,5660.0
19,5660.0
20,5660.0
21,5660.0
22,5660.0
23,5660.0
24,5660.0
25,5660.0
26,5660.0
27,5660.0
28,5660.0
29,5660.0
30,5660.0
31,5660.0
32,5660.0
33,5660.0
34,5660.0
35,5660.0
36,5660.0
37,5660.0
38,5660.0
39,5659.0
40,5659.0
41,5659.0
42,5659.0
43,5659.0
44,5659.0
45,5659.0
46,5659.0
47,5659.0
48,5659.0
49,5659.0
