iteration,obj_of_RMP
1,9011.634138682675
2,9011.634138682675
3,9011.634138682675
4,9011.634138682675
5,9011.634138682675
6,9011.634138682675
7,9011.634138682675
8,9011.634138682675
9,9011.634138682675
10,9011.634138682675
11,9011.634138682675
12,9011.634138682675
13,9011.634138682675
14,9011.634138682675
15,9011.634138682675
16,9011.634138682675
17,9011.634138682675
18,9011.634138682675
19,9011.634138682675
20,9011.634138682675
21,9011.634138682675
22,9011.634138682675
23,9011.634138682675
24,9011.634138682675
25,9011.634138682675
26,9011.634138682675
27,9011.634138682675
28,9011.634138682675
29,9011.634138682675
30,9011.634138682675
31,9011.634138682675
32,9011.634138682675
33,9011.634138682675
34,9011.634138682675
35,9011.634138682675
36,9011.634138682675
37,9011.634138682675
38,8990.276832129664
39,8990.276832129664
40,8990.276832129664
41,8990.276832129664
42,8990.276832129664
43,8989.756597359383
44,8989.756597359383
45,8989.756597359383
46,8989.756597359383
47,8989.756597359383
48,8989.756597359383
49,8989.756597359383
50,8989.756597359383
51,8989.756597359383
52,8989.756597359383
53,8989.756597359383
