iteration,obj_of_RMP
1,7369.600147328186
2,7369.600147328186
3,7369.600147328186
4,7369.600147328186
5,7369.600147328186
6,7369.600147328186
7,7369.600147328186
8,7369.600147328186
9,7369.600147328186
10,7369.600147328186
11,7369.600147328186
12,7369.600147328186
13,7369.600147328186
14,7369.600147328186
15,7369.600147328186
16,7369.600147328186
17,7369.600147328186
18,7369.600147328186
19,7369.600147328186
20,7369.600147328186
21,7369.600147328186
22,7369.600147328186
23,7369.600147328186
24,7369.600147328186
25,7369.600147328186
26,7369.600147328186
27,7369.600147328186
28,7369.600147328186
29,7369.600147328186
30,7369.600147328186
31,7369.600147328186
32,7369.600147328186
33,7369.600147328186
34,7369.600147328186
35,7369.600147328186
36,7369.600147328186
37,7369.600147328186
38,7354.973756811702
39,7354.973756811702
40,7354.973756811702
41,7354.973756811702
42,7354.973756811702
43,7354.973756811702
44,7354.973756811702
45,7354.973756811702
46,7354.973756811702
47,7354.973756811702
48,7354.973756811702
