iteration,obj_of_RMP
1,7803.133543133333
2,7803.133543133333
3,7803.133543133333
4,7803.133543133333
5,7803.133543133333
6,7803.133543133333
7,7803.133543133333
8,7803.133543133333
9,7803.133543133333
10,7803.133543133333
11,7803.133543133333
12,7803.133543133333
13,7803.133543133333
14,7803.133543133333
15,7803.133543133333
16,7803.133543133333
17,7803.133543133333
18,7803.133543133333
19,7803.133543133333
20,7803.133543133333
21,7742.545961697003
22,7741.545961697003
23,7741.545961697003
24,7691.1370889611835
25,7684.597008419158
26,7684.597008419158
27,7684.597008419158
28,7684.597008419158
29,7684.597008419158
30,7684.597008419158
31,7684.597008419158
32,7684.597008419158
33,7684.597008419158
34,7684.597008419158
35,7684.597008419158
36,7684.597008419158
37,7684.597008419158
38,7684.597008419158
39,7684.597008419158
40,7684.597008419158
41,7684.597008419158
42,7684.597008419158
43,7684.597008419158
44,7684.597008419158
45,7684.597008419158
46,7684.597008419158
47,7684.597008419158
48,7684.597008419158
